"GEO_ID","NAME","P1_001N",
"Geography","Geographic Area Name"," !!Total",
"310M600US42100","Santa Cruz-Watsonville, CA Metro Area","270861",
"310M600US42140","Santa Fe, NM Metro Area","154823",
"310M600US42200","Santa Maria-Santa Barbara, CA Metro Area","448229",
"310M600US42220","Santa Rosa-Petaluma, CA Metro Area","488863",
"310M600US42340","Savannah, GA Metro Area","404798",
"310M600US42540","Scranton--Wilkes-Barre, PA Metro Area","567559",
"310M600US42660","Seattle-Tacoma-Bellevue, WA Metro Area","4018762",
"310M600US42680","Sebastian-Vero Beach, FL Metro Area","159788",
"310M600US42700","Sebring-Avon Park, FL Metro Area","101235",
"310M600US43100","Sheboygan, WI Metro Area","118034",
"310M600US43300","Sherman-Denison, TX Metro Area","135543",
"310M600US43340","Shreveport-Bossier City, LA Metro Area","393406",
"310M600US43420","Sierra Vista-Douglas, AZ Metro Area","125447",
"310M600US43580","Sioux City, IA-NE-SD Metro Area","149940",
"310M600US43620","Sioux Falls, SD Metro Area","276730",
"310M600US43780","South Bend-Mishawaka, IN-MI Metro Area","324501",
"310M600US43900","Spartanburg, SC Metro Area","327997",
"310M600US44060","Spokane-Spokane Valley, WA Metro Area","585784",
"310M600US44100","Springfield, IL Metro Area","208640",
"310M600US44140","Springfield, MA Metro Area","699162",
"310M600US44180","Springfield, MO Metro Area","475432",
"310M600US44220","Springfield, OH Metro Area","136001",
"310M600US44300","State College, PA Metro Area","158172",
"310M600US44420","Staunton, VA Metro Area","125433",
"310M600US44700","Stockton, CA Metro Area","779233",
"310M600US44940","Sumter, SC Metro Area","136700",
"310M600US45060","Syracuse, NY Metro Area","662057",
"310M600US45220","Tallahassee, FL Metro Area","384298",
"310M600US45300","Tampa-St. Petersburg-Clearwater, FL Metro Area","3175275",
"310M600US45460","Terre Haute, IN Metro Area","185031",
"310M600US45500","Texarkana, TX-AR Metro Area","147519",
"310M600US45540","The Villages, FL Metro Area","129752",
"310M600US45780","Toledo, OH Metro Area","646604",
"310M600US45820","Topeka, KS Metro Area","233152",
"310M600US45940","Trenton-Princeton, NJ Metro Area","387340",
"310M600US46060","Tucson, AZ Metro Area","1043433",
"310M600US46140","Tulsa, OK Metro Area","1015331",
"310M600US46220","Tuscaloosa, AL Metro Area","268674",
"310M600US46300","Twin Falls, ID Metro Area","114283",
"310M600US46340","Tyler, TX Metro Area","233479",
"310M600US46520","Urban Honolulu, HI Metro Area","1016508",
"310M600US46540","Utica-Rome, NY Metro Area","292264",
"310M600US46660","Valdosta, GA Metro Area","148126",
"310M600US46700","Vallejo, CA Metro Area","453491",
"310M600US47020","Victoria, TX Metro Area","98331",
"310M600US47220","Vineland-Bridgeton, NJ Metro Area","154152",
"310M600US47260","Virginia Beach-Norfolk-Newport News, VA-NC Metro Area","1799674",
"310M600US47300","Visalia, CA Metro Area","473117",
"310M600US47380","Waco, TX Metro Area","277547",
"310M600US47460","Walla Walla, WA Metro Area","62584",
"310M600US47580","Warner Robins, GA Metro Area","191614",
"310M600US47900","Washington-Arlington-Alexandria, DC-VA-MD-WV Metro Area","6385162",
"310M600US47940","Waterloo-Cedar Falls, IA Metro Area","168461",
"310M600US48060","Watertown-Fort Drum, NY Metro Area","116721",
"310M600US48140","Wausau-Weston, WI Metro Area","166428",
"310M600US48260","Weirton-Steubenville, WV-OH Metro Area","116903",
"310M600US48300","Wenatchee, WA Metro Area","122012",
"310M600US48540","Wheeling, WV-OH Metro Area","139513",
"310M600US48620","Wichita, KS Metro Area","647610",
"310M600US48660","Wichita Falls, TX Metro Area","148128",
"310M600US48700","Williamsport, PA Metro Area","114188",
"310M600US48900","Wilmington, NC Metro Area","285905",
"310M600US49020","Winchester, VA-WV Metro Area","142632",
"310M600US49180","Winston-Salem, NC Metro Area","675966",
"310M600US49340","Worcester, MA-CT Metro Area","978529",
"310M600US49420","Yakima, WA Metro Area","256728",
"310M600US49500","Yauco, PR Metro Area","86142",
"310M600US49620","York-Hanover, PA Metro Area","456438",
"310M600US49660","Youngstown-Warren-Boardman, OH-PA Metro Area","541243",
"310M600US49700","Yuba City, CA Metro Area","181208",
"310M600US49740","Yuma, AZ Metro Area","203881",
